rank,name,followers,er,audience_country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Win Metawin O. @winmetawin,14400000.0,0.11,Thailand,Acting and Drama,4300000.0,instagram,thailand,False,2024,Entertainment,MAPPED
2,Urassaya Sperbund @urassayas,12900000.0,1.45,Thailand,Entertainment and Music Home and Garden Celebrity Modeling,3900000.0,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
3,baifernbah @baifernbah,12800000.0,1.11,Thailand,Fashion and Accessories Celebrity Modeling Actor,3900000.0,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
4,Araya Alberta Hargate @chomismaterialgirl,11400000.0,0.65,Thailand,family Actors Lifestyle Personal Blog,3400000.0,instagram,thailand,False,2024,Entertainment,MAPPED
5,Woonsen @vjwoonsen,10200000.0,0.14,Thailand,Pets Actors,3000000.0,instagram,thailand,False,2024,Entertainment,MAPPED
6,Patt Napapa T. @pat_napapa,9900000.0,0.4,Thailand,Acting and Drama Celebrity Actors TV Shows,3000000.0,instagram,thailand,False,2024,Entertainment,MAPPED
7,박진영 @jinyoung_0922jy,9600000.0,9.49,Thailand,Music Music of Asia Band,2900000.0,instagram,thailand,False,2024,Music,MAPPED
8,Ploy Chermarn @chermarn,9200000.0,0.66,Thailand,Entertainment and Music Celebrity Actors Actor,2800000.0,instagram,thailand,False,2024,Music,MAPPED
9,Bella Ranee Campen @bellacampen,9000000.0,1.2,Thailand,Acting and Drama Celebrity Lifestyle Actors,2700000.0,instagram,thailand,False,2024,Entertainment,MAPPED
10,Margie Balenciaga @margie_rasri,8900000.0,0.24,Thailand,Acting and Drama Travel Celebrity Lifestyle,2700000.0,instagram,thailand,False,2024,Entertainment,MAPPED
11,PunPun Sutatta Udomsilp♡ @punpun_sutatta,8600000.0,1.18,Thailand,Celebrity Modeling Design Celebrities,2600000.0,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
12,Prin Suparat @mark_prin,8000000.0,1.07,Thailand,Entertainment and Music Celebrity Business,2400000.0,instagram,thailand,False,2024,Knowledge&Info,MAPPED
13,Noey Chotika @noeychotika,7900000.0,0.18,Thailand,Beauty and Self Care Fashion and Accessories Celebrity Modeling,2400000.0,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
14,TJ @toeyjarinporn,7900000.0,0.74,Thailand,Business and Finance Modeling Entrepreneur,2400000.0,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
15,Kwan Usamanee Official @kwanusa9,7500000.0,0.08,Thailand,Beauty and Self Care Business and Finance Celebrity Modeling,2300000.0,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
16,t ae wt ae w @taewaew_natapohn,7200000.0,0.39,Thailand,Entertainment and Music Acting and Drama Actors,2200000.0,instagram,thailand,False,2024,Music,MAPPED
17,Anne Jakrajutatip | แอน จักรพงษ์ @annejkn.official,6700000.0,0.25,Thailand,Entertainment and Music Business and Finance,2000000.0,instagram,thailand,False,2024,Knowledge&Info,MAPPED
