rank,name,followers,er,country,topic_of_influence,potential_reach,_platform,_country,_is_global,_year,category_unified,category_status
1,Win Metawin O. @winmetawin,14.4M,0.11%,Thailand,Acting and Drama,4.3M,instagram,thailand,False,2024,Entertainment,MAPPED
2,Urassaya Sperbund @urassayas,12.9M,1.45%,Thailand,Entertainment and Music Home and Garden Celebrity Modeling,3.9M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
3,baifernbah @baifernbah,12.8M,1.11%,Thailand,Fashion and Accessories Celebrity Modeling Actor,3.9M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
4,Araya Alberta Hargate @chomismaterialgirl,11.4M,0.65%,Thailand,family Actors Lifestyle Personal Blog,3.4M,instagram,thailand,False,2024,Entertainment,MAPPED
5,Woonsen @vjwoonsen,10.2M,0.14%,Thailand,Pets Actors,3M,instagram,thailand,False,2024,Entertainment,MAPPED
6,Patt Napapa T. @pat_napapa,9.9M,0.4%,Thailand,Acting and Drama Celebrity Actors TV Shows,3M,instagram,thailand,False,2024,Entertainment,MAPPED
7,박진영 @jinyoung_0922jy,9.6M,9.49%,Thailand,Music Music of Asia Band,2.9M,instagram,thailand,False,2024,Music,MAPPED
8,Ploy Chermarn @chermarn,9.2M,0.66%,Thailand,Entertainment and Music Celebrity Actors Actor,2.8M,instagram,thailand,False,2024,Music,MAPPED
9,Bella Ranee Campen @bellacampen,9M,1.2%,Thailand,Acting and Drama Celebrity Lifestyle Actors,2.7M,instagram,thailand,False,2024,Entertainment,MAPPED
10,Margie Balenciaga @margie_rasri,8.9M,0.24%,Thailand,Acting and Drama Travel Celebrity Lifestyle,2.7M,instagram,thailand,False,2024,Entertainment,MAPPED
11,PunPun Sutatta Udomsilp♡ @punpun_sutatta,8.6M,1.18%,Thailand,Celebrity Modeling Design Celebrities,2.6M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
12,Prin Suparat @mark_prin,8M,1.07%,Thailand,Entertainment and Music Celebrity Business,2.4M,instagram,thailand,False,2024,Knowledge&Info,MAPPED
13,Noey Chotika @noeychotika,7.9M,0.18%,Thailand,Beauty and Self Care Fashion and Accessories Celebrity Modeling,2.4M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
14,TJ @toeyjarinporn,7.9M,0.74%,Thailand,Business and Finance Modeling Entrepreneur,2.4M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
15,Kwan Usamanee Official @kwanusa9,7.5M,0.08%,Thailand,Beauty and Self Care Business and Finance Celebrity Modeling,2.3M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
16,t ae wt ae w @taewaew_natapohn,7.2M,0.39%,Thailand,Entertainment and Music Acting and Drama Actors,2.2M,instagram,thailand,False,2024,Music,MAPPED
17,Anne Jakrajutatip | แอน จักรพงษ์ @annejkn.official,6.7M,0.25%,Thailand,Entertainment and Music Business and Finance,2M,instagram,thailand,False,2024,Knowledge&Info,MAPPED
18,Jirayu Tangsrisuk @jirayu_jj,6.7M,0.62%,Thailand,Actors,2M,instagram,thailand,False,2024,Entertainment,MAPPED
19,Panward Hemmanee @ppanward,6.5M,0.43%,Thailand,Acting and Drama Beauty and Self Care Celebrity,2M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
20,Mew Suppasit @mewsuppasit,5.9M,2.22%,Thailand,Entertainment and Music Modeling Moms Actors,1.8M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
21,Tawan Vihokratana @tawan_v,5.9M,0.2%,Thailand,Entertainment and Music Lifestyle,1.8M,instagram,thailand,False,2024,Music,MAPPED
22,WORANUCH BHIROM BHAKDI @nuneworanuch,5.6M,0.16%,Thailand,Acting and Drama Actors Singer Music,1.7M,instagram,thailand,False,2024,Music,MAPPED
23,Pitchanart Sakhakorn @maypitchy,5.4M,0.07%,Thailand,Entertainment and Music Acting and Drama Celebrity Modeling,1.6M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
24,Lydia Sarunrat Deane @lydiasarunrat,5.2M,0.62%,Thailand,Actors Food,1.5M,instagram,thailand,False,2024,Entertainment,MAPPED
25,Cris Horwang️️️️️️ @crishorwang,5.1M,0.18%,Thailand,Actors,1.5M,instagram,thailand,False,2024,Entertainment,MAPPED
26,GMMTV @gmmtv,5.1M,0.28%,Thailand,Entertainment and Music Parenting Modeling Tv Show,1.5M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
27,JT @janienineeleven,4.9M,1.44%,Thailand,Fashion and Accessories Business and Finance Actor,1.5M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
28,ตุ๊กกี้ สุดารัตน์ @tukky66,4.7M,0.02%,Thailand,,1.4M,instagram,thailand,False,2024,NA,NA
29,Kan Kantathavorn @kankantathavorn,4.5M,0.03%,Thailand,Acting and Drama family Marketing and Advertising Celebrity,1.4M,instagram,thailand,False,2024,Knowledge&Info,MAPPED
30,Mook Worranit Thawornwong @mookworranit,4.5M,1.54%,Thailand,Actors,1.3M,instagram,thailand,False,2024,Entertainment,MAPPED
31,New Thitipoom @newwiee,4.4M,0.24%,Thailand,Celebrity,1.3M,instagram,thailand,False,2024,Entertainment,MAPPED
32,Naphat Siangsomboon นาย ณภัทร @naphat_nine,4.4M,2.32%,Thailand,Acting and Drama Arts and Crafts Photography Celebrity,1.3M,instagram,thailand,False,2024,Entertainment,MAPPED
33,Esther Supreeleela @esthersupree,4.3M,0.46%,Thailand,Actors,1.3M,instagram,thailand,False,2024,Entertainment,MAPPED
34,𝗝 𝗘 𝗙 𝗙 𝗦 𝗔 𝗧 𝗨 𝗥 (罗杰夫) @jeffsatur,4.2M,9.9%,Thailand,Entertainment and Music Music,1.3M,instagram,thailand,False,2024,Music,MAPPED
35,Ice Apitsada ไอซ์ อภิษฎา @apitsada,4.2M,0.41%,Thailand,Art Celebrity Styling Lifestyle,1.3M,instagram,thailand,False,2024,Entertainment,MAPPED
36,Warattaya Nilkuha (Jooy) @warattaya,4.2M,1.54%,Thailand,Celebrity Entertainment and Music Beauty and Self Care Fashion and Accessories,1.3M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
37,Violette Wautier @violettewautier,4.1M,1.2%,Thailand,Entertainment and Music Music Modeling Artist,1.2M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
38,徐志贤𝕭𝖎𝖊 @biexu1991,4.1M,2.71%,Thailand,Modeling Fashion,1.2M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
39,Sririta Jensen Narongdej @sriritajensen,4.1M,0.22%,Thailand,Business and Finance Organics,1.2M,instagram,thailand,False,2024,Knowledge&Info,MAPPED
40,Vanda Sahawong @vanda29,4.1M,0.33%,Thailand,Fashion and Accessories Business and Finance Modeling Public Figure,1.2M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
41,Krit Amnuaydechkorn @pp.kritt,4M,3.3%,Thailand,Fashion and Accessories Celebrity Modeling,1.2M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
42,Nattawin Wattanagitiphat @apo555,3.8M,13.52%,Thailand,Celebrity,1.1M,instagram,thailand,False,2024,Entertainment,MAPPED
43,Thanapob Leeratanakachorn @thanapob_lee,3.7M,1.59%,Thailand,Acting and Drama Celebrity,1.1M,instagram,thailand,False,2024,Entertainment,MAPPED
44,Love Pattranite (เลิฟ) @loverrukk,3.7M,3.78%,Thailand,Entertainment and Music Celebrity Modeling,1.1M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
45,Rhatha Yaya Phongam @realyingrhatha,3.7M,0.06%,Thailand,Nature Animals Celebrity Actors,1.1M,instagram,thailand,False,2024,Entertainment,MAPPED
46,Sunny Suwanmethanont @sunny_suwanmethanont,3.7M,2.09%,Thailand,Funny Fashion and Accessories Travel Celebrity,1.1M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
47,MP 15.15 @milephakphum,3.6M,7.46%,Thailand,Pets Singer Music Songwriting,1.1M,instagram,thailand,False,2024,Music,MAPPED
48,Thiti Mahayotaruk @bank_thiti,3.6M,1.04%,Thailand,Fashion and Accessories Celebrity Actors,1.1M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
49,J @jaylerr,3.5M,0.94%,Thailand,Entertainment and Music Modeling,1M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
50,PANITA N @ningpanita,3.5M,0.08%,Thailand,Beauty and Self Care News Lifestyle Modeling,1M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
51,Engfa Waraha 🇹🇭 @fa_engfa8,3.5M,5.15%,Thailand,Business and Finance Art,1M,instagram,thailand,False,2024,Knowledge&Info,MAPPED
52,Thanavat Vatthanaputi @popezaap,3.4M,1.56%,Thailand,Acting and Drama Celebrity Actors Modeling,1M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
53,Singto | Prachaya Ruangroj @__singto,3.4M,1.48%,Thailand,Celebrity Modeling Actors Film,1M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
54,Wachirawit @chimonac,3.4M,4.22%,Thailand,Entertainment and Music,1M,instagram,thailand,False,2024,Music,MAPPED
55,MARCH @marchutavuth,3.4M,0.32%,Thailand,Acting and Drama Celebrity Modeling Actors,1M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
56,💗 Fonthip Watcharatrakul 💗 @pooklook_fonthip,3.4M,0.25%,Thailand,Beauty and Self Care Celebrity Modeling Actors,1M,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
57,Sushar M. @aom_sushar,3.3M,0.5%,Thailand,Acting and Drama Actor,985K,instagram,thailand,False,2024,Entertainment,MAPPED
58,Praya Lundberg @prayalundberg,3.3M,0.47%,Thailand,Celebrity Actors Modeling,982.3K,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
59,พลอยชมพู | Ploychompoo @jannineweigel,3.2M,1.96%,Thailand,Entertainment and Music Celebrity Music Singer,971.8K,instagram,thailand,False,2024,Music,MAPPED
60,Ter Chantavit @terchantavit,3.2M,0.66%,Thailand,Celebrity Actors,958.8K,instagram,thailand,False,2024,Entertainment,MAPPED
61,Amy Klinpratoom @amy_klinpratoom,3.2M,0.21%,Thailand,Acting and Drama Celebrity Lifestyle,951.8K,instagram,thailand,False,2024,Entertainment,MAPPED
62,Jennie Panhan @jennie_panhan,3.1M,1.71%,Thailand,Music Singer,945K,instagram,thailand,False,2024,Music,MAPPED
63,Putthipong Assaratanakul @bbillkin,3.1M,2.55%,Thailand,Fashion and Accessories Entertainment and Music Product Showcase Celebrity,944.5K,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
64,Peak @peakpattarasaya,3.1M,0.17%,Thailand,Acting and Drama Celebrity Modeling Design,940.4K,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
65,Chanon Santinatornkul @nonkul,3.1M,6.72%,Thailand,Arts and Crafts Celebrity Music Actors,934.4K,instagram,thailand,False,2024,Music,MAPPED
66,arachaporn's @goyyog,3.1M,2.82%,Thailand,Celebrity Piercing Actor,932.8K,instagram,thailand,False,2024,Entertainment,MAPPED
67,Thanat Lowkhunsombat 🇹🇭 @lee_thanat,3.1M,2.34%,Thailand,Music Singer,920.3K,instagram,thailand,False,2024,Music,MAPPED
68,Toptap Jirakit K. @toptap_jirakit,3M,0.34%,Thailand,Acting and Drama Entertainment and Music Celebrity Video Games,913.4K,instagram,thailand,False,2024,Tech&Gaming,MAPPED
69,Thaisupermodel 2013 @bow_maylada,3M,3.05%,Thailand,Celebrity Modeling Singer Music,908K,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
70,Paula Taylor @paulataylorbuttery,3M,0.21%,Thailand,Celebrity Actors,901.6K,instagram,thailand,False,2024,Entertainment,MAPPED
71,จ๊ะ 🐒 @jaja_nongpanee,3M,0.19%,Thailand,Singer,900.8K,instagram,thailand,False,2024,Music,MAPPED
72,Popor Sapsiree Taerattanachai @popor_sapsiree,3M,1.74%,Thailand,Sports Personal Finance,896.3K,instagram,thailand,False,2024,Sports,MAPPED
73,ภูวินทร์ GMMTV @phuwintang,3M,7.89%,Thailand,Acting and Drama Music,893.7K,instagram,thailand,False,2024,Music,MAPPED
74,Gemiyakii♊️ @gemini_nt,2.9M,8.21%,Thailand,Entertainment and Music,877.9K,instagram,thailand,False,2024,Music,MAPPED
75,ken_phupoom @ken_phupoom,2.9M,0.28%,Thailand,Entertainment and Music Actors,876.6K,instagram,thailand,False,2024,Music,MAPPED
76,Four Sakonrut @khunfour,2.9M,0.83%,Thailand,Entertainment and Music Artist,875.8K,instagram,thailand,False,2024,Music,MAPPED
77,★𝗣𝗔𝗡𝗖𝗔𝗞𝗘 𝗞𝗛𝗘𝗠𝗔𝗡𝗜𝗧 𝗝𝗔𝗠𝗜𝗞𝗢𝗥𝗡 ★ @khemanito,2.9M,0.09%,Thailand,Animals Entertainment and Music Modeling Actors,873.4K,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
78,Tatiana Marakhovskaya @sa_spinoi_angela,2.8M,0.31%,Thailand,Life and Society Coaching,850.6K,instagram,thailand,False,2024,Knowledge&Info,MAPPED
79,Third Lapat Ngamchaweng @thirdd,2.8M,2.14%,Thailand,Entertainment and Music Arts and Crafts Music Parenting,846.8K,instagram,thailand,False,2024,Music,MAPPED
80,mootono29😈 @mootono29,2.8M,0.24%,Thailand,Music Modeling,840.9K,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
81,Harit Cheewagaroon @ssingss,2.8M,1.98%,Thailand,Actors Modeling Fashion Photography,835.7K,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
82,Rinrada Thurapan @yoshirinrada,2.8M,5.1%,Thailand,Beauty and Self Care Fashion and Accessories Actors,826.1K,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
83,poydtreechada @poydtreechada,2.7M,1.44%,Thailand,Modeling,822.1K,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
84,พิธา ลิ้มเจริญรัตน์ @pita.ig,2.7M,1.03%,Thailand,,820.6K,instagram,thailand,False,2024,NA,NA
85,Sananthachat Thanapatpisal @sananthachat,2.7M,0.75%,Thailand,Entertainment and Music Celebrity Actors Modeling,818.7K,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
86,James Teeradon Supapunpinyo @jamyjamess,2.7M,1.72%,Thailand,Travel Photography Celebrity Modeling,815.2K,instagram,thailand,False,2024,Beauty&Fashion,MAPPED
87,𝐌𝐨𝐫𝐚𝐤𝐨𝐭 𝐀𝐢𝐦𝐞𝐞 𝐒𝐚𝐧𝐠𝐭𝐚𝐰𝐞𝐞𝐩 @aimeemorakot,2.7M,0.1%,Thailand,Fitness and Health Business and Finance Actors,808.4K,instagram,thailand,False,2024,Sports,MAPPED
